userId,movieId,rating,timestamp
2,3107,3.0,1141416048
3,3827,2.5,1439473123
3,8665,4.0,1439472715
3,70336,3.0,1566091169
3,132046,3.0,1439474829
4,83134,4.5,1573937827
5,802,5.0,858625986
8,1047,3.0,890489996
9,1127,4.0,859384879
12,175,3.5,1137234912
12,1242,4.0,963590544
12,2500,2.0,1119355554
12,4638,2.0,1014144021
12,76173,4.0,1291385413
13,5418,4.5,1238094767
13,68358,3.0,1297907870
16,2959,5.0,1432081057
18,2791,4.0,1108273966
19,4643,2.5,1446298283
19,66371,5.0,1445286679
20,1097,5.0,1062004022
22,253,4.0,832862254
23,1251,4.0,942966906
23,2734,5.0,943136251
26,2571,5.0,1280515871
30,4027,5.0,1488510891
31,2445,2.5,1256226661
31,30812,3.0,1256226779
35,5064,5.0,1511295910
37,56782,5.0,1456484986
38,8529,3.5,1417644330
40,2858,5.0,1240754435
41,2406,4.0,944572411
43,1196,5.0,1169596206
43,4308,3.5,1170493608
44,79091,4.0,1489523222
46,3471,2.5,1248367155
49,480,3.0,840650920
54,1246,3.0,1134594550
57,1968,4.0,1142400582
57,33166,4.0,1142399822
58,2712,4.0,1337179962
59,1947,3.5,1111477579
59,6979,3.5,1111477124
61,969,5.0,986603783
61,2953,2.0,986605419
62,37477,3.5,1180310443
64,112852,5.0,1434644873
67,1385,3.0,975660478
69,2411,0.5,1242574287
70,2023,4.0,1255205230
72,157,3.0,980804026
72,1028,4.0,980794275
72,1762,2.0,980643316
72,2497,2.0,980802215
72,3526,4.0,980646770
75,454,3.0,1537208139
75,2918,4.0,1537348604
75,74458,2.5,1537208525
76,30810,4.5,1287385273
78,61024,4.5,1498277017
80,880,1.0,993325894
80,2490,5.0,993231707
80,4133,1.0,993231887
82,39234,4.0,1437242775
84,3476,3.5,1481830518
84,96610,3.0,1481830266
86,1222,4.0,945462629
89,454,3.5,1266620398
90,648,3.0,863538043
92,428,4.0,1150129421
93,79702,5.0,1496530338
95,7254,1.5,1510444870
96,122892,5.0,1443314040
98,91628,3.5,1450047096
101,215,4.0,1450710273
102,2131,4.5,1239317867
105,5,4.0,850678919
107,3148,4.0,1113518022
108,69844,4.0,1516197959
109,3578,5.0,1545076264
111,780,4.0,1167221515
113,3741,3.5,1467081543
114,90522,3.0,1564822526
117,47610,0.5,1433456173
119,130073,3.0,1442376519
120,1320,4.0,956265315
120,2359,5.0,956264593
120,3256,5.0,963886354
121,3362,3.0,973554713
123,2302,3.0,980968530
125,1391,3.0,1048378408
126,2762,4.0,1491854840
130,836,3.0,888458097
132,1513,3.0,1013954517
132,5282,4.0,1033044785
135,5816,5.0,1183616326
